                       precision  recall  f1-score   support
beech                     0.7715  0.7813    0.7764   951.000
douglas fir               0.8524  0.8192    0.8355   437.000
fir                       0.7263  0.8025    0.7625   162.000
larch                     0.8394  0.7586    0.7969   551.000
long-lived deciduous      0.7704  0.7638    0.7671   940.000
oak                       0.8456  0.8622    0.8538  1277.000
pine                      0.8691  0.8989    0.8838  1256.000
short-lived deciduous     0.7130  0.6410    0.6751  1000.000
spruce                    0.7661  0.8284    0.7960  1008.000
accuracy                  0.8010  0.8010    0.8010     0.801
macro avg                 0.7949  0.7951    0.7941  7582.000
weighted avg              0.8002  0.8010    0.7999  7582.000
