                precision  recall  f1-score    support
alder              0.6290  0.6364    0.6327   429.0000
birch              0.5609  0.4474    0.4977   494.0000
black pine         0.7179  0.6829    0.7000    82.0000
cherry             0.6842  0.5306    0.5977    49.0000
douglas fir        0.8524  0.8192    0.8355   437.0000
english oak        0.6783  0.6940    0.6860   562.0000
european ash       0.6099  0.5864    0.5979   440.0000
european beech     0.7715  0.7813    0.7764   951.0000
european larch     0.6714  0.6272    0.6485   228.0000
japanese larch     0.8947  0.7895    0.8388   323.0000
linden             0.7692  0.6250    0.6897    32.0000
norway spruce      0.7661  0.8284    0.7960  1008.0000
poplar             0.6056  0.5584    0.5811    77.0000
red oak            0.7679  0.7705    0.7692   292.0000
scots pine         0.8556  0.8905    0.8727  1078.0000
sessile oak        0.6728  0.6903    0.6814   423.0000
silver fir         0.7263  0.8025    0.7625   162.0000
sycamore maple     0.5483  0.5823    0.5648   419.0000
weymouth pine      0.7778  0.8021    0.7897    96.0000
accuracy           0.7319  0.7319    0.7319     0.7319
macro avg          0.7137  0.6918    0.7010  7582.0000
weighted avg       0.7299  0.7319    0.7298  7582.0000
